Site_Num,Site_Size,Site_Type,BP_Range,Num_Sample,Early Holocene Period (10000-8501 BP),Early Early Period (8500-5001 BP),Late Early Period (5000-2601 BP),Early Middle Period (2600-1301 BP),Late Middle Period (1300-851 BP),Early Late Period (850-501 BP),Late Late Period (500-241 BP),Mission Period (240-150 BP)
CA-SBA-0016,2225,Unknown,910-770,1,0,0,0,0,0,840,0,0
CA-SBA-0031,187,Unknown,4330-3320,2,0,0,3805,0,0,0,0,0
CA-SBA-0210-552,128739, Village,9420-710,8,9050,0,4121,2045,0,810,0,0
CA-SBA-0212,162405, Village,3110-590,33,0,0,3040,1657,1063,733,0,0
CA-SBA-0215,51337, Village,6690-690,23,0,0,0,0,0,0,0,0
CA-SBA-0224,1280, Village,1145-95,7,0,0,0,0,985,613,358,155
CA-SBA-0225,301834, Village,1355-120,5,0,0,0,0,1230,0,0,210
CA-SBA-0503,2205,"Long-term residence, ideological",3410-740,9,0,0,3302,2570,0,815,0,0
CA-SBA-0530,20977,Long-term residence,9680-265,65,8900,6415,3732,2385,1138,723,325,0
CA-SBA-0539,40689,Long-term residence,2375-1845,3,0,0,0,2092,0,0,0,0
CA-SBA-0593,14934,"Location, chipping station",560-360,1,0,0,0,0,0,0,460,0
CA-SBA-0594,27012,Short-term residence,1080-110,12,0,0,0,0,980,598,448,205
CA-SBA-0612,2350,Short-term residence,1750-150,16,0,0,0,1567,1075,640,335,190
CA-SBA-0662,74258, Village,2725-2325,1,0,0,0,2525,0,0,0,0
CA-SBA-0706,142477,Short-term residence,1720-395,11,0,0,0,1630,1100,747,465,0
CA-SBA-0740,32811,Long-term residence,1660-950,3,0,0,0,1580,1085,0,0,0
CA-SBA-0755-756-757,63958,"Long-term residence, quarry",8210-1020,30,0,6698,3794,1708,1060,0,0,0
CA-SBA-0760-761-1748,63455,Short-term residence,1970-1010,8,0,0,0,1620,1050,0,0,0
CA-SBA-0772,46839,"Location, chipping station/shell",8960-1030,7,8920,0,4730,2060,1148,0,0,0
CA-SBA-0935,125519,Long-term residence,1590-1160,7,0,0,0,1443,1200,0,0,0
CA-SBA-0939,43042,Long-term residence,1445-1285,1,0,0,0,1365,0,0,0,0
CA-SBA-0940,92525, Village,1030-930,1,0,0,0,0,980,0,0,0
CA-SBA-0980,42482,"Location, chipping station/shell",1640-355,21,0,0,0,1333,1173,800,405,0
CA-SBA-0981,71170,"Short-term residence, quarry",1180-810,6,0,0,0,0,1050,0,0,0
CA-SBA-0990,107818,Short-term residence,1350-870,16,0,0,0,1310,1066,0,0,0
CA-SBA-1000,7711,"Location, chipping station",850-770,1,0,0,0,0,0,810,0,0
CA-SBA-1036,78219,Short-term residence,7710-1140,4,0,7105,0,0,1180,0,0,0
CA-SBA-1037,56898,"Location, chipping station/shell",4280-870,5,0,0,4140,0,990,0,0,0
CA-SBA-1060,195328,"Location, chipping station/shell",1730-1570,1,0,0,0,1650,0,0,0,0
CA-SBA-1070-1071,73858,"Location, chipping station/shell",1420-950,17,0,0,0,1345,1126,0,0,0
CA-SBA-1154,13904,"Location, chipping station/shell",1070-850,1,0,0,0,0,960,0,0,0
CA-SBA-1179,1037,Short-term residence,585-485,1,0,0,0,0,0,535,0,0
CA-SBA-2127,1828,"Short-term residence, quarry",6510-6370,1,0,6440,0,0,0,0,0,0
CA-SBA-2166,15459,Long-term residence,1470-340,5,0,0,0,1370,970,600,430,0
CA-SBA-2243,1906,"Location, chipping station",610-150,2,0,0,0,0,0,0,520,240
CA-SBA-2322,64169,Long-term residence,5490-2980,16,0,5262,4008,0,0,0,0,0
CA-SBA-2767,12140,Unknown,900-390,9,0,0,0,0,0,663,450,0
CA-SBA-3328,2978,"Location, chipping station/shell",990-310,6,0,0,0,0,950,730,355,0
CA-SBA-3949,4401,"Long-term residence, ideological",3290-2560,4,0,0,2870,0,0,0,0,0
Point Sal Cemetery,10000,Unknown,1890-1410,4,0,0,0,1633,0,0,0,0
